M,N,Media_Colisoes,Media_Tempo
31,100,70.30,0.000000
31,1000,969.00,0.000100
31,10000,9969.00,0.000600
79,100,44.20,0.000000
79,1000,921.00,0.000100
79,10000,9921.00,0.000700
151,100,42.50,0.000000
151,1000,891.20,0.000100
151,10000,9863.90,0.000700
